run_id,condition,condition_label,model,model_label,seed,area_error_mean,area_error_std,boundary_f1_mean,boundary_f1_std,dice_ci_high,dice_ci_low,dice_mean,dice_std,iou_ci_high,iou_ci_low,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,best_val_dice,generalization_gap
pure_real__monai_unet__seed13,pure_real,Real only,monai_unet,MONAI U-Net,13,0.018936984792233907,0.021811403358860924,0.5588437988366672,0.2724698660546894,0.5648750303332868,0.4645130191488542,0.515604469816896,0.25372667305186614,0.43045729728743415,0.34012837576978955,0.3856354054521345,0.228868694509382,0.4486062557217096,0.27391784904347033,0.7624208623910425,0.23375862376406728,0.6837963334634968,0.16819186364660077
pure_real__monai_unet__seed37,pure_real,Real only,monai_unet,MONAI U-Net,37,0.9756902718818222,0.012578396146612936,0.001607770086784613,0.00727366314883182,0.03809983332028374,0.028671025564656387,0.03313433901963312,0.023507249358389735,0.01963118656607826,0.014646734237650061,0.016993352811330506,0.012438391716185236,0.016993725220777314,0.012439093720319249,0.9996794986691321,0.0016154027704674261,0.04412930416851215,0.01099496514887903
pure_real__monai_unet__seed101,pure_real,Real only,monai_unet,MONAI U-Net,101,0.014133700669421838,0.01858090934928491,0.608900945380056,0.2575756784627169,0.6124235701994125,0.5213691830830279,0.5670626621552074,0.23261393397025215,0.47252184094323685,0.38743298882099797,0.42991231902285765,0.2152128592056723,0.5011135954310184,0.25499171029368833,0.7856031772644445,0.21082647090657483,0.6857778705231989,0.11871520836799154
pure_real__segformer_b2__seed13,pure_real,Real only,segformer_b2,SegFormer-B2,13,0.013657492682139524,0.03660387520740383,0.7886830084069116,0.19967034492790844,0.7622155977597411,0.6778054652938386,0.7213997207695456,0.21479730460530747,0.6417078313556586,0.5555009736497146,0.6000094170296175,0.21834432032256554,0.6678910067226249,0.25041931695514236,0.8669779633710537,0.1265505904687321,0.8352457497997587,0.11384602903021313
pure_real__segformer_b2__seed37,pure_real,Real only,segformer_b2,SegFormer-B2,37,0.008408339952403747,0.022780402412528735,0.8086432765495382,0.17887783519250894,0.7780963880800494,0.7057330935773626,0.7427178037243601,0.187425253769666,0.6562084502045346,0.5803794689830917,0.6188300106348503,0.19341845413871567,0.7018073291690895,0.2217687783476379,0.8442131975410794,0.1401954541032403,0.8313689653675929,0.08865116164323272
pure_real__segformer_b2__seed101,pure_real,Real only,segformer_b2,SegFormer-B2,101,0.011923030653019858,0.032008211607318704,0.7866386390357272,0.20373395795634777,0.7634596733331509,0.6766339916175481,0.7209938681512673,0.21795473832559975,0.6449319006354731,0.5554887179069343,0.6008325072041492,0.22300774747554314,0.6688465500403981,0.2541190498774571,0.8642483668388135,0.11791905675226398,0.8373931881357652,0.11639931998449793
pure_real__smp_deeplabv3plus_resnet50__seed13,pure_real,Real only,smp_deeplabv3plus_resnet50,DeepLabV3+,13,0.0076468917022129036,0.015236128139184643,0.7651700354145894,0.2150868434973176,0.7408758326935806,0.6609173574770609,0.7022486887270373,0.20965421564141706,0.6127104165778214,0.5328692628573473,0.5739770177510105,0.20889917741717565,0.6845613331503176,0.23549063553082245,0.7857913153789485,0.20017639412598032,0.7930044185220598,0.09075572979502255
pure_real__smp_deeplabv3plus_resnet50__seed37,pure_real,Real only,smp_deeplabv3plus_resnet50,DeepLabV3+,37,0.007039257556744279,0.016034379995417472,0.75099534600824,0.22976729782197353,0.7180027446512316,0.6274913623395595,0.6745635638101336,0.23269592733566266,0.5893644230386499,0.5024849434142202,0.5474392225010293,0.22462443006173793,0.6829383929023984,0.2613571983204557,0.7379592347807337,0.21004800138717444,0.7955500422630003,0.1209864784528667
pure_real__smp_deeplabv3plus_resnet50__seed101,pure_real,Real only,smp_deeplabv3plus_resnet50,DeepLabV3+,101,0.007414237194384721,0.017652316422730352,0.7713558272485832,0.21286148693912102,0.7442093746052421,0.6645025250060104,0.7052000007752184,0.20759445339091576,0.6161373929732802,0.5370155189418082,0.5766909639988387,0.20513184047873967,0.7032013848109874,0.23693120596898645,0.7700864467320193,0.18748337420548414,0.8018162521816411,0.09661625140642272
pure_real__smp_fpn_effb3__seed13,pure_real,Real only,smp_fpn_effb3,FPN,13,0.006612562404261719,0.009712854291776912,0.753617911425218,0.20161032738020068,0.7245788857930009,0.6413329230555899,0.6829453713010201,0.21206269473187142,0.5929028976383982,0.5100156193572734,0.5515169993966325,0.21024872092770233,0.6569930825979204,0.24749170468893206,0.772653317134327,0.1973223796212492,0.8160163083821899,0.1330709370811698
